Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-11-25,162.850006,163.429993,162.759995,163.220001,163.220001,1436500,197
2022-11-28,162.929993,163.059998,161.910004,161.929993,161.929993,4052900,198
2022-11-29,162.699997,163.630005,162.600006,162.729996,162.729996,2620600,199
2022-11-30,163.690002,164.809998,162.399994,164.809998,164.809998,4874700,200
2022-12-01,167.479996,167.949997,166.979996,167.839996,167.839996,8625800,201
2022-12-02,166.179993,167.470001,165.759995,167.259995,167.259995,5185900,202
2022-12-05,166.550003,166.720001,164.320007,164.389999,164.389999,5436200,203
2022-12-06,165.199997,165.539993,164.449997,164.839996,164.839996,3597800,204
2022-12-07,165.470001,166.639999,165.320007,166.330002,166.330002,4610700,205
2022-12-08,166.580002,167.050003,166.070007,166.470001,166.470001,3217900,206
2022-12-09,167.259995,168.089996,166.600006,167.059998,167.059998,5431300,207
2022-12-12,166.440002,166.600006,165.429993,165.679993,165.679993,3504400,208
2022-12-13,169.210007,169.789993,168.020004,168.509995,168.509995,6750200,209
2022-12-14,168.429993,168.809998,167.139999,168.100006,168.100006,5643000,210
2022-12-15,165.729996,166.210007,165.100006,165.350006,165.350006,8363000,211
2022-12-16,166.020004,166.979996,165.839996,166.789993,166.789993,5372000,212
2022-12-19,166.710007,167.110001,165.990005,166.320007,166.320007,3940500,213
2022-12-20,168.100006,169.529999,168.029999,169.080002,169.080002,7803100,214
2022-12-21,169.039993,169.710007,168.679993,168.800003,168.800003,3990100,215
2022-12-22,167.759995,167.759995,166.059998,166.759995,166.759995,5672700,216
2022-12-23,166.880005,167.800003,166.660004,167.259995,167.259995,2912300,217
2022-12-27,167.889999,170.610001,167.800003,168.669998,168.669998,6885700,218
2022-12-28,168.050003,168.339996,167.100006,167.910004,167.910004,3662500,219
2022-12-29,168.539993,169.350006,168.520004,168.850006,168.850006,3345900,220
2022-12-30,169.259995,169.899994,168.800003,169.639999,169.639999,2863300,221
2023-01-03,171.320007,172.089996,170.020004,171.059998,171.059998,7992900,222
2023-01-04,172.860001,173.089996,171.850006,172.669998,172.669998,7574600,223
2023-01-05,170.820007,171,169.789993,170.520004,170.520004,4692600,224
2023-01-06,171.759995,173.960007,171.229996,173.710007,173.710007,7887800,225
2023-01-09,174.509995,175.039993,173.880005,174.100006,174.100006,5134500,226
2023-01-10,174.610001,174.979996,174.059998,174.740005,174.740005,4398400,227
2023-01-11,174.759995,174.789993,173.720001,174.619995,174.619995,3374200,228
2023-01-12,176.009995,176.710007,174.880005,176.639999,176.639999,6936900,229
2023-01-13,176.960007,178.830002,176.889999,178.759995,178.759995,7455100,230
2023-01-17,178.210007,178.240005,177.089996,177.589996,177.589996,6610800,231
2023-01-18,178.919998,179.179993,176.899994,177.080002,177.080002,5384700,232
2023-01-19,178.369995,180.029999,178.089996,179.889999,179.889999,6678700,233
2023-01-20,179.059998,179.660004,178.649994,179.289993,179.289993,5749000,234
2023-01-23,178.350006,179.690002,177.779999,179.630005,179.630005,5265500,235
2023-01-24,179.559998,180.320007,178.350006,180.279999,180.279999,4604600,236
2023-01-25,179.350006,181.220001,179.289993,181.110001,181.110001,6925300,237
2023-01-26,180.149994,180.270004,178.460007,179.470001,179.470001,5860100,238
2023-01-27,179.270004,179.720001,178.259995,179.220001,179.220001,5446400,239
2023-01-30,179.289993,179.429993,178.649994,178.759995,178.759995,4210700,240
2023-01-31,178.820007,179.699997,178.539993,179.410004,179.410004,5976900,241
2023-02-01,179.75,181.729996,178.630005,181.669998,181.669998,7996000,242
2023-02-02,181.080002,181.110001,177.740005,177.899994,177.899994,8842400,243
2023-02-03,174.919998,175.429993,173.119995,173.460007,173.460007,13671900,244
2023-02-06,174.110001,174.460007,173.279999,173.820007,173.820007,8957000,245
2023-02-07,173.720001,175.270004,173.470001,173.979996,173.979996,6794200,246
2023-02-08,174.940002,174.990005,173.830002,174.410004,174.410004,4075600,247
2023-02-09,175.490005,175.520004,172.869995,173.029999,173.029999,5361300,248
2023-02-10,173.630005,173.679993,172.630005,173.360001,173.360001,2969400,249
2023-02-13,172.699997,172.901398,172.080002,172.309204,172.309204,2764115,250
